Name,URL of sub-project,Contributors,# of test files,# of test units,# of test units with mocks,Total # of more than one class mocked per test,Mocks of other mocks
apache/kylin,"https://github.com/apache/kylin/tree/master/query/
",188,12,30,0,0,0
apache/kylin,"https://github.com/apache/kylin/tree/master/server-base/
",188,13,18,2,1,0
apache/kylin,"https://github.com/apache/kylin/tree/master/source-hive/
",188,3,4,1,1,0
apache/kylin,"https://github.com/apache/kylin/tree/master/source-jdbc/
",188,7,19,3,0,0
apache/kylin,"https://github.com/apache/kylin/tree/master/storage-hbase/
",188,17,47,4,0,0
apache/kylin,"https://github.com/apache/kylin/tree/master/stream-coordinator/
",188,4,15,4,1,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-cassandra/
",123,0,0,0,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-iostreams/
",123,22,96,2,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-jakarta-web/
",123,8,41,25,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-mongodb3/
",123,5,6,0,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-mongodb4/
",123,5,6,0,0,0
apache/logging-log4j2,"https://github.com/apache/logging-log4j2/tree/master/log4j-web/
",123,8,40,25,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-compat/
",151,42,142,2,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-core/
",151,57,344,9,3,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-embedder/
",151,6,36,4,4,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-model-transform/
",151,7,28,0,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-resolver-provider/
",151,6,26,1,0,0
apache/maven,"https://github.com/apache/maven/tree/master/maven-toolchain-builder/
",151,3,17,0,0,0
apache/maven-enforcer,"https://github.com/apache/maven-enforcer/tree/master/enforcer-rules/
",50,5,36,4,0,0
apache/maven-enforcer,"https://github.com/apache/maven-enforcer/tree/master/maven-enforcer-plugin/
",50,0,0,0,0,0
apache/maven-plugin-tools,"https://github.com/apache/maven-plugin-tools/tree/master/maven-plugin-tools-annotations/
",33,1,2,1,0,0
apache/maven-plugin-tools,"https://github.com/apache/maven-plugin-tools/tree/master/maven-script/maven-script-ant/
",33,1,1,0,0,0
apache/maven-release,"https://github.com/apache/maven-release/tree/master/maven-release-manager/
",42,54,432,78,0,0
apache/maven-release,"https://github.com/apache/maven-release/tree/master/maven-release-plugin/
",42,4,0,0,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-api/
",33,15,77,1,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-impl/
",33,31,207,0,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-named-locks-hazelcast/
",33,0,0,0,0,0
apache/maven-resolver,"https://github.com/apache/maven-resolver/tree/master/maven-resolver-named-locks/
",33,4,3,0,0,0
apache/maven-scm,"https://github.com/apache/maven-scm/tree/master/maven-scm-providers/maven-scm-providers-svn/maven-scm-provider-svnexe/
",57,26,2,1,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/maven-failsafe-plugin/
",117,4,14,0,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/maven-surefire-common/
",117,47,226,106,49,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-api/
",117,23,130,28,8,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-booter/
",117,13,120,13,8,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-extensions-api/
",117,2,1,1,1,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-its/
",117,3,2,0,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-logger-api/
",117,4,11,1,0,0
apache/maven-surefire,"https://github.com/apache/maven-surefire/tree/master/surefire-providers/surefire-junit-platform/
",117,5,77,6,0,0
