alibaba/nacos,false,3774,40,develop,41,206,Apache License 2.0,865,20553,8620,42903,2018-06-15 06:49:27.0,2021-12-08 07:38:05.0,2021-12-08 14:08:46.0,https://nacos.io,Java,5020,475,2246,29,2021-12-07 02:25:01.0,f136dde8fae27797156f0ecb9abbe80774beaea4,true,false,"Java,SCSS,Shell,JavaScript,TypeScript,Batchfile","area/Client,area/Config,area/DNS-Server,area/Document,area/Dubbo,area/Istio,area/Kubernetes,area/Nacos console,area/Nacos Core,area/Naming,area/Service Mesh,area/Spring,area/Spring Boot,area/Spring Cloud,area/Test,contribution welcome,dependencies,expired,follow up,go,good first issue,help wanted,java,kind/bug,kind/code quality,kind/discussion,kind/enhancement,kind/feature,kind/notice,kind/performance,kind/proposal,kind/question,kind/refactor,kind/research,kind/typo,kind/user experience,os/windows,pending,priority/blocker,priority/high,priority/low,priority/normal,priority/urgent,Soc2019,SoC2020,status/duplicate,status/inactive,status/invalid,status/lack env information,status/merge-conflict,status/more-info-needed,status/need discuss,status/need feedback,status/wontfix,Summer2021,version/2.x,weekly-report"
apache/accumulo,false,11076,2,main,0,134,Apache License 2.0,90,895,388,82001,2011-10-06 07:00:09.0,2021-12-10 06:26:42.0,2021-12-08 14:50:31.0,https://accumulo.apache.org,Java,762,140,1605,30,2021-12-08 14:50:26.0,2fd40dd8fd68c94bad6fb887d6b1cd99d39481c3,false,false,"Java,JavaScript,Shell,FreeMarker,Thrift,C++,Python,CSS,HTML,Makefile,C","blocker,bug,build,cannot reproduce,dependencies,duplicate,enhancement,good first issue,Hacktoberfest,help wanted,question,reverted,spam,test,won't fix"
apache/cloudstack,false,34665,200,main,13,213,Apache License 2.0,135,1126,881,567706,2013-04-29 22:27:12.0,2021-12-08 14:07:03.0,2021-12-08 08:58:35.0,,Java,1143,173,4563,109,2021-12-06 14:06:10.0,28385be60998852f1419c5a77d3e0bba6e069807,true,false,"Java,Python,C#,Vue,JavaScript,Shell,Groovy,XSLT,HTML,Less,CSS,Ruby,Batchfile,FreeMarker,Dockerfile,Makefile","age:1year_plus,age:2years_plus,compatibilty,complexity:complex,complexity:dragoning,complexity:epic,complexity:normal,complexity:simpel,complexity:trivial,complexity:unknown,component: JDK,component:advanced-networking,component:agent,component:api,component:backup,component:basic-network,component:build,component:ceph,component:cks,component:compute,component:console-proxy,component:csvm,component:database,component:dhcp,component:documentation,component:dpdk,component:hyper-v,component:hyperv,component:identity-management,component:integration-test,component:ipv6,component:iscsi,component:kubernetes,component:kvm,component:LDAP,component:libvirt,component:local-storage,component:logging,component:managed-storage,component:management-server,component:marvin,component:migration,component:mysql,component:nested-hypervisor,component:networking,component:oldUI,component:openvswitch,component:orchestration,component:packaging,component:plugin,component:primary-storage,component:primate,component:projects,component:quota,component:saml,component:secondary-storage,component:security,component:security-group,component:solidfire,component:ssvm,component:systemd,component:templates,component:travis,component:UI,component:unit-test,component:upgrade,component:usage-server,component:user-interface,component:virtual-router,component:vmware,component:vpc,component:vxlan,component:website,component:XenServer,component:zone-wizard,dependencies,distro:centos,distro:ubuntu,docker,gsoc2021,hackathon,Juniper,licensing,NEEDS-GO-NO_GO-URGENTLY,platform:arm64,platform:raspberrypi,Python,python3,Severity:BLOCKER,Severity:Critical,Severity:Major,Severity:Minor,Severity:None,Severity:Trivial,simulator,status:blocked,status:cant replicate,status:CI-running,status:closable,status:depreciated,status:duplicate,status:Has a PR,status:Help-wanted,status:invalid,status:manual-tests-failing,status:manual-tests-not-run,status:manual-tests-passing,status:marvin-test-not-run,status:marvin-tests-failing,status:marvin-tests-passing,status:needs-CI,status:needs-functional-definition,status:needs-investigation,status:needs-love,status:needs-reproducing,status:needs-review,status:needs-testing,status:Not a problem,status:not-a-bug,status:On Hold,status:proof-of-concept,status:ready-for-merge,status:rebase required,status:reviews-complete,status:testing,status:waiting-for-author,status:waiting-for-reviewer,status:waiting-for-smoketest-results,status:wontfix,status:work-in-progress,systemvm-iso-change,systemvm-template-change,type:admin/housekeeping,type:breaking-change,type:bug,type:cleanup,type:config,type:enhancement,type:experimental-feature,type:healthcheckrun,type:improvement,type:new-feature,type:question,type:regression,type:technical-debt,wip"
apache/dubbo-samples,false,998,2,master,0,79,Apache License 2.0,133,1558,1220,4210,2018-04-28 09:25:29.0,2021-12-05 13:09:16.0,2021-12-06 13:34:05.0,,Java,99,36,303,11,2021-12-05 13:09:16.0,ed04fbf6baf786c93f217cb7119777910d6f8a6f,true,false,"Java,Shell,Scala,HTML,Dockerfile,Thrift,Roff","bug,dependencies,duplicate,enhancement,first-time-contributor,good first issue,help wanted,invalid,question,waiting-for-feedback,wontfix"
apache/dubbo-spi-extensions,false,130,2,master,3,12,Apache License 2.0,45,67,32,2833,2020-05-14 15:51:35.0,2021-10-18 05:55:47.0,2021-10-18 12:52:09.0,https://dubbo.apache.org/,Java,26,2,48,2,2021-10-18 05:51:30.0,a0f0b346c914b234c2a7e8532b275aaeeabf21e8,false,false,"Java,Thrift","area/dubbo api docs,bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,waiting-for-feedback,wontfix"
apache/iotdb,false,5468,97,master,15,153,Apache License 2.0,88,1682,514,62206,2018-11-24 21:29:17.0,2021-12-08 12:57:46.0,2021-12-08 00:56:42.0,https://iotdb.apache.org/,Java,405,117,4037,49,2021-12-08 00:56:37.0,7aabea4d2d8224ddf13f9b929287d954ac2d3e11,true,false,"Java,Scala,Python,C++,Vue,Shell,JavaScript,Batchfile,Thrift,ANTLR,Roff,Stylus,MATLAB,CMake,HTML","0.11.4,0.11.5,0.12,0.12.1,0.12.1 & 0.13,0.12.2,0.12.3,0.13,bug,dependencies,Easy-Fixed,Experimental,github_actions,Hot-Fix,Improvement,In Progress,java,master,Module - C++ client,Module - CLI,Module - Cluster,Module - Compaction,Module - Documents,Module - Examples,Module - File Sync,Module - Flink,Module - Go Client,Module - Grafana,Module - Hadoop,Module - Hive,Module - Index,Module - Java Client,Module - JDBC,Module - Metrics,Module - MQTT,Module - Python Client,Module - Query Processing,Module - Restful,Module - Rocketmq,Module - RPC,Module - Schema Manager,Module - site,Module - Spark,Module - SQL,Module - Standalone,Module - Storage Engine,Module - TsFile,Module - UDF,Module - Upgrade Tool,Module - WAL,Module - Zeppelin,Need Test,New Feature,Priority - High,Priority - Low,Priority - Middle,ready for review,Solution,Tool,Trivial,v0.11.1"
apache/rocketmq,false,1843,57,master,4,286,Apache License 2.0,888,16047,8923,11429,2016-11-30 08:00:08.0,2021-12-06 15:53:18.0,2021-12-06 14:27:28.0,,Java,1819,329,1762,188,2021-10-22 05:44:14.0,21faa68b4cdd7f7103eebd811ed87154ff69e177,true,false,"Java,Shell,Python,Batchfile","acl,admin,broker,bug,client,code style,discuss,doc,duplicate,enhancement,Good First Issue,namesrv,new feature,question,remoting,rip,soc,store,test,tools,transaction,urgent,wip,wontfix"
apache/rya,false,460,5,master,9,27,Apache License 2.0,23,96,77,8748,2015-10-06 07:00:05.0,2021-01-08 04:14:04.0,2021-01-11 15:38:30.0,,Java,,,321,14,2020-12-16 19:27:39.0,ac44b3c00e2dc279bfb178eb94e56ba4384602ed,false,false,,
apache/skywalking,false,6862,13,master,49,382,Apache License 2.0,842,18265,5380,161887,2015-11-07 03:30:36.0,2021-12-07 02:56:01.0,2021-12-08 08:41:47.0,https://skywalking.apache.org/,Java,4001,51,3888,1,2021-12-07 02:55:58.0,f2229b6f27eb2572e10951f759904470ce59bfd5,false,false,"Java,Shell,Python,FreeMarker,ANTLR,Batchfile,Makefile,Dockerfile,TypeScript,JavaScript,Go,Lua,PHP","agent,backend,bug,chore,CI settings,CLI,Client JS,complexity:high,complexity:medium,core feature,database,demo env,dependencies,discussion,docker,documentation,don't merge,duplicate,ecosystem,enhancement,feature,good first issue,helm,high priority,infra-e2e,invalid,java,kong,license eye,Nginx,no update,nodejs,plugin,potential bug,protocol,python,query,question,rejected,satellite,showcase,so11y,submodule update,SWCK,TBD,test,UI,website,wontfix"
apache/skywalking-java,false,6751,1,main,1,380,Apache License 2.0,37,141,85,161117,2021-08-26 13:08:54.0,2021-12-06 09:25:05.0,2021-12-06 09:25:10.0,https://skywalking.apache.org/,Java,0,0,80,1,2021-12-06 09:25:04.0,2557749617e4188b15c1f9f4e4462f422e241ed2,false,false,"Java,Shell,Kotlin,Scala,Dockerfile,Thrift,Makefile,Python","bug,chore,CI Setting,core,dependency,docker,documentation,duplicate,enhancement,feature,good first issue,help wanted,invalid,plugin,question,rejected,testing,wontfix"
